epoch,accuracy,loss,val_accuracy,val_loss
0,0.9318833351135254,0.29710835218429565,0.7305999994277954,0.7567902207374573
1,0.9805999994277954,0.07031552493572235,0.9797999858856201,0.06471341848373413
2,0.984749972820282,0.053513284772634506,0.9836000204086304,0.05177555978298187
3,0.9869333505630493,0.044426921755075455,0.9876000285148621,0.03880380839109421
4,0.9882833361625671,0.03951899707317352,0.9911999702453613,0.028262527659535408
5,0.9894000291824341,0.03510361164808273,0.9894999861717224,0.03182176500558853
6,0.9894000291824341,0.03427552431821823,0.9907000064849854,0.03146665543317795
7,0.9911999702453613,0.029405293986201286,0.9911999702453613,0.027005288749933243
8,0.9908333420753479,0.02842792496085167,0.992900013923645,0.023981578648090363
9,0.9910833239555359,0.02818346582353115,0.9921000003814697,0.023936817422509193
